BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen. Dat betekent dat deze ree
ksen niet geschikt zijn voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeksen van de stations De Kooy, Eelde, De B
ilt, Vlissingen, Beek of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.

SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
Comment: these time series are possibly inhomogeneous because of station relocations and changes in observation techniques. As a result, these series are not suit
able for trend analysis. For climate change studies we refer to the homogenized series of stations De Kooy, Eelde, De Bilt, Vlissingen, Beek or the Central Nether
lands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.

YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag) / Date (YYYY=year MM=month DD=day)
DDVEC = Vectorgemiddelde windrichting in graden (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil/variabel). Zie http://www.knmi.nl/kennis-en-datacentrum/ac
htergrond/klimatologische-brochures-en-boeken / Vector mean wind direction in degrees (360=north, 90=east, 180=south, 270=west, 0=calm/variable)
FHVEC = Vectorgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken / Vector mean
windspeed (in 0.1 m/s)
FG = Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
FHX = Hoogste uurgemiddelde windsnelheid (in 0.1 m/s) / Maximum hourly mean windspeed (in 0.1 m/s)
FHXH = Uurvak waarin FHX is gemeten / Hourly division in which FHX was measured
FHN = Laagste uurgemiddelde windsnelheid (in 0.1 m/s) / Minimum hourly mean windspeed (in 0.1 m/s)
FHNH = Uurvak waarin FHN is gemeten / Hourly division in which FHN was measured
FXX = Hoogste windstoot (in 0.1 m/s) / Maximum wind gust (in 0.1 m/s)
FXXH = Uurvak waarin FXX is gemeten / Hourly division in which FXX was measured
TG = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
TN = Minimum temperatuur (in 0.1 graden Celsius) / Minimum temperature (in 0.1 degrees Celsius)
TNH = Uurvak waarin TN is gemeten / Hourly division in which TN was measured
TX = Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
TXH = Uurvak waarin TX is gemeten / Hourly division in which TX was measured
T10N = Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius) / Minimum temperature at 10 cm above surface (in 0.1 degrees Celsius)
T10NH = 6-uurs tijdvak waarin T10N is gemeten / 6-hourly division in which T10N was measured; 6=0-6 UT, 12=6-12 UT, 18=12-18 UT, 24=18-24 UT
SQ = Zonneschijnduur (in 0.1 uur) berekend uit de globale straling (-1 voor <0.05 uur) / Sunshine duration (in 0.1 hour) calculated from global radiation (
-1 for <0.05 hour)
SP = Percentage van de langst mogelijke zonneschijnduur / Percentage of maximum potential sunshine duration
Q = Globale straling (in J/cm2) / Global radiation (in J/cm2)
DR = Duur van de neerslag (in 0.1 uur) / Precipitation duration (in 0.1 hour)
RH = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
RHX = Hoogste uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
RHXH = Uurvak waarin RHX is gemeten / Hourly division in which RHX was measured
PG = Etmaalgemiddelde luchtdruk herleid tot zeeniveau (in 0.1 hPa) berekend uit 24 uurwaarden / Daily mean sea level pressure (in 0.1 hPa) calculated from
24 hourly values
PX = Hoogste uurwaarde van de luchtdruk herleid tot zeeniveau (in 0.1 hPa) / Maximum hourly sea level pressure (in 0.1 hPa)
PXH = Uurvak waarin PX is gemeten / Hourly division in which PX was measured
PN = Laagste uurwaarde van de luchtdruk herleid tot zeeniveau (in 0.1 hPa) / Minimum hourly sea level pressure (in 0.1 hPa)
PNH = Uurvak waarin PN is gemeten / Hourly division in which PN was measured
VVN = Minimum opgetreden zicht / Minimum visibility; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30
km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
VVNH = Uurvak waarin VVN is gemeten / Hourly division in which VVN was measured
VVX = Maximum opgetreden zicht / Maximum visibility; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30
km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
VVXH = Uurvak waarin VVX is gemeten / Hourly division in which VVX was measured
NG = Etmaalgemiddelde bewolking (bedekkingsgraad van de bovenlucht in achtsten, 9=bovenlucht onzichtbaar) / Mean daily cloud cover (in octants, 9=sky invis
ible)
UG = Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
UX = Maximale relatieve vochtigheid (in procenten) / Maximum relative atmospheric humidity (in percents)
UXH = Uurvak waarin UX is gemeten / Hourly division in which UX was measured
UN = Minimale relatieve vochtigheid (in procenten) / Minimum relative atmospheric humidity (in percents)
UNH = Uurvak waarin UN is gemeten / Hourly division in which UN was measured
EV24 = Referentiegewasverdamping (Makkink) (in 0.1 mm) / Potential evapotranspiration (Makkink) (in 0.1 mm)

# STN,YYYYMMDD,DDVEC,FHVEC, FG, FHX, FHXH, FHN, FHNH, FXX, FXXH, TG, TN, TNH, TX, TXH, T10N,T10NH, SQ, SP, Q, DR, RH, RHX, RHXH, PG, PX, PXH, PN, PNH, VVN, VVNH, VVX, VVXH, NG, UG, UX, UXH, UN, UNH, EV24

 225,20220512, 244, 76, 79, 110, 24, 60, 6, 130, 23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
 229,20220501, 46, 15, 28, 50, 16, 10, 6, 70, 17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
 229,20220502, 4, 21, 33, 70, 14, 20, 3, 90, 14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
 229,20220503, 6, 36, 40, 60, 10, 10, 22, 90, 13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
 229,20220504, 255, 10, 21, 40, 12, 10, 2, 50, 12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
 229,20220505, 250, 18, 31, 50, 21, 10, 24, 60, 20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
 229,20220506, 217, 47, 50, 80, 13, 20, 1, 100, 13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
 229,20220507, 2, 36, 44, 70, 15, 20, 2, 100, 15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
 229,20220508, 41, 40, 42, 60, 16, 30, 1, 90, 10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
 229,20220509, 135, 22, 34, 60, 5, 20, 8, 80, 5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
 229,20220510, 208, 81, 85, 110, 11, 50, 1, 150, 7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
 229,20220511, 230, 94, 103, 140, 20, 80, 1, 190, 20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
 229,20220512, 245, 76, 78, 90, 1, 60, 19, 120, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
 235,20220501, 52, 19, 25, 50, 21, 0, 3, 60, 12, 87, 17, 3, 130, 15, -44, 6, 99, 66, 2023, 0, 0, 0, 1,10240,10252, 1,10224, 24, 1, 1, 81, 9, 5, 77, 98, 1, 60, 10, 29
235,20220502, 35, 19, 26, 40, 10, 10, 5, 70, 16, 100, 52, 4, 147, 14, -4, 6, 134, 89, 2462, 0, 0, 0, 1,10211,10221, 1,10200, 24, 3, 23, 83, 15, 2, 72, 98, 22, 44, 15, 36
235,20220503, 14, 31, 34, 50, 9, 10, 1, 80, 8, 92, 46, 2, 116, 13, -8, 6, 36, 24, 1170, 4, 2, 2, 6,10205,10215, 11,10194, 4, 3, 1, 82, 20, 8, 75, 98, 1, 61, 18, 17
235,20220504, 279, 8, 17, 30, 10, 0, 5, 50, 10, 91, 52, 5, 126, 13, 9, 6, 107, 71, 2216, 0, 0, 0, 1,10196,10206, 1,10185, 18, 67, 24, 80, 1, 8, 69, 88, 21, 57, 8, 32
235,20220505, 249, 19, 26, 40, 7, 10, 1, 60, 7, 117, 78, 24, 160, 12, 59, 6, 78, 51, 1902, 0, 0, 0, 1,10227,10254, 23,10198, 1, 1, 21, 74, 16, 7, 82, 99, 22, 67, 16, 29
235,20220506, 231, 40, 41, 70, 13, 10, 1, 100, 13, 122, 77, 1, 179, 14, 77, 6, 106, 69, 2337, 0, 0, 0, 1,10243,10256, 6,10223, 24, 1, 1, 80, 9, 7, 82, 99, 3, 58, 14, 36
235,20220507, 25, 35, 41, 60, 15, 10, 3, 100, 16, 125, 91, 24, 160, 10, 83, 24, 44, 29, 1701, 3, 1, 1, 2,10250,10286, 24,10218, 2, 41, 3, 70, 15, 6, 83, 95, 3, 73, 10, 27
235,20220508, 38, 45, 47, 60, 15, 30, 3, 80, 1, 102, 80, 3, 129, 14, 71, 6, 122, 79, 2530, 0, 0, 0, 1,10293,10306, 9,10285, 1, 67, 2, 81, 10, 4, 69, 80, 2, 57, 14, 37
235,20220509, 150, 10, 27, 40, 1, 10, 19, 60, 1, 138, 77, 5, 189, 12, 67, 6, 126, 82, 2548, 0, 0, 0, 1,10243,10284, 1,10191, 24, 66, 5, 83, 20, 5, 63, 87, 5, 40, 14, 41
235,20220510, 215, 61, 64, 110, 9, 30, 1, 160, 8, 144, 120, 21, 197, 9, 112, 6, 14, 9, 1186, 13, 4, 2, 14,10146,10185, 1,10116, 24, 58, 21, 82, 3, 8, 76, 94, 21, 52, 8, 19
235,20220511, 232, 72, 77, 110, 20, 50, 1, 180, 21, 126, 100, 24, 155, 13, 93, 24, 26, 17, 1517, 40, 33, 13, 17,10095,10122, 24,10071, 18, 58, 17, 75, 22, 7, 85, 90, 3, 76, 13, 24
235,20220512, 244, 58, 60, 80, 12, 40, 5, 120, 13, 128, 101, 1, 152, 10, 94, 6, 142, 91, 2728, 0, 0, 0, 1,10166,10184, 13,10127, 1, 60, 23, 80, 10, 3, 79, 92, 2, 63, 10, 43
240,20220501, 360, 15, 21, 50, 16, 0, 2, 80, 16, 96, 16, 5, 158, 14, -18, 6, 90, 60, 2089, 0, 0, 0, 1,10237,10253, 1,10221, 24, 4, 2, 82, 11, 5, 72, 98, 2, 45, 14, 30
240,20220502, 8, 24, 28, 60, 17, 10, 2, 100, 17, 111, 42, 4, 170, 15, 1, 6, 133, 89, 2384, 0, 0, 0, 1,10207,10218, 1,10195, 16, 57, 4, 83, 18, 1, 66, 97, 4, 38, 16, 36
240,20220503, 13, 28, 30, 50, 14, 10, 1, 100, 9, 96, 49, 3, 127, 14, 10, 6, 3, 2, 738, 0, -1, -1, 1,10202,10208, 11,10197, 4, 33, 2, 80, 16, 8, 79, 97, 3, 66, 16, 11
240,20220504, 315, 17, 20, 40, 13, 0, 23, 70, 12, 101, 34, 5, 150, 16, -4, 6, 118, 78, 2348, 0, 0, 0, 1,10196,10205, 1,10185, 17, 70, 3, 83, 17, 7, 63, 85, 24, 46, 16, 34
240,20220505, 297, 13, 24, 50, 16, 10, 1, 90, 16, 126, 58, 2, 196, 14, 32, 6, 66, 44, 1853, 0, 0, 0, 1,10227,10257, 23,10200, 1, 1, 22, 80, 16, 6, 76, 99, 24, 53, 14, 29
